/data/DATASETS/FaceForensicsPP/manipulated_sequences/Deepfakes/c23/videos/836_950.mp4,418,33,385,385,418,76
/data/DATASETS/FaceForensicsPP/manipulated_sequences/Deepfakes/c23/videos/139_130.mp4,210,125,129,129,253,140
/data/DATASETS/FaceForensicsPP/manipulated_sequences/Deepfakes/c23/videos/584_823.mp4,687,139,223,223,717,160
/data/DATASETS/FaceForensicsPP/manipulated_sequences/Deepfakes/c23/videos/592_500.mp4,304,160,186,186,345,201
/data/DATASETS/FaceForensicsPP/manipulated_sequences/Deepfakes/c23/videos/764_850.mp4,121,278,268,267,646,350
/data/DATASETS/FaceForensicsPP/manipulated_sequences/Deepfakes/c23/videos/937_888.mp4,221,98,186,186,253,167
/data/DATASETS/FaceForensicsPP/manipulated_sequences/Deepfakes/c23/videos/941_940.mp4,187,92,107,107,235,116
/data/DATASETS/FaceForensicsPP/manipulated_sequences/Deepfakes/c23/videos/305_513.mp4,827,168,129,129,892,199
/data/DATASETS/FaceForensicsPP/manipulated_sequences/Deepfakes/c23/videos/314_347.mp4,167,116,155,155,184,139
/data/DATASETS/FaceForensicsPP/manipulated_sequences/Deepfakes/c23/videos/600_505.mp4,225,92,129,129,306,116
/data/DATASETS/FaceForensicsPP/manipulated_sequences/Deepfakes/c23/videos/070_057.mp4,182,96,129,129,235,116
/data/DATASETS/FaceForensicsPP/manipulated_sequences/Deepfakes/c23/videos/189_200.mp4,253,82,129,129,282,128
/data/DATASETS/FaceForensicsPP/manipulated_sequences/Deepfakes/c23/videos/857_909.mp4,235,92,108,107,285,138
/data/DATASETS/FaceForensicsPP/manipulated_sequences/Deepfakes/c23/videos/804_738.mp4,340,118,223,223,390,160
/data/DATASETS/FaceForensicsPP/manipulated_sequences/Deepfakes/c23/videos/865_739.mp4,883,170,321,321,990,348
/data/DATASETS/FaceForensicsPP/manipulated_sequences/Deepfakes/c23/videos/783_916.mp4,551,116,186,186,580,133
/data/DATASETS/FaceForensicsPP/manipulated_sequences/Deepfakes/c23/videos/468_470.mp4,201,96,155,155,253,153
/data/DATASETS/FaceForensicsPP/manipulated_sequences/Deepfakes/c23/videos/190_176.mp4,656,348,463,463,810,451
/data/DATASETS/FaceForensicsPP/manipulated_sequences/Deepfakes/c23/videos/962_929.mp4,124,82,129,129,139,104
/data/DATASETS/FaceForensicsPP/manipulated_sequences/Deepfakes/c23/videos/052_108.mp4,479,233,555,555,553,400
/data/DATASETS/FaceForensicsPP/manipulated_sequences/Deepfakes/c23/videos/240_290.mp4,163,67,129,129,450,104
/data/DATASETS/FaceForensicsPP/manipulated_sequences/Deepfakes/c23/videos/083_213.mp4,914,231,268,268,1009,316
/data/DATASETS/FaceForensicsPP/manipulated_sequences/Deepfakes/c23/videos/210_241.mp4,242,98,186,186,270,133
/data/DATASETS/FaceForensicsPP/manipulated_sequences/Deepfakes/c23/videos/135_880.mp4,191,68,223,223,266,118
/data/DATASETS/FaceForensicsPP/manipulated_sequences/Deepfakes/c23/videos/186_170.mp4,211,277,321,321,954,536
/data/DATASETS/FaceForensicsPP/manipulated_sequences/Deepfakes/c23/videos/454_527.mp4,283,118,222,223,373,167
/data/DATASETS/FaceForensicsPP/manipulated_sequences/Deepfakes/c23/videos/924_917.mp4,196,96,129,129,223,128
/data/DATASETS/FaceForensicsPP/manipulated_sequences/Deepfakes/c23/videos/126_104.mp4,180,77,186,186,253,133
/data/DATASETS/FaceForensicsPP/manipulated_sequences/Deepfakes/c23/videos/869_780.mp4,38,116,186,186,1542,225
